Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IRCTC,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IQM,0,0,0.00,0,0.00,0.00,0,0
ISVL,0,0,0.00,0,0.00,0.00,0,0
ITA,0,0,0.00,0,0.00,0.00,0,0
ITB,0,0,0.00,0,0.00,0.00,0,0
ITM,0,0,0.00,0,0.00,0.00,0,0
IVAL,0,0,0.00,0,0.00,0.00,0,0
IVDG,0,0,0.00,0,0.00,0.00,0,0
IVLC,0,0,0.00,0,0.00,0.00,0,0
IVRA,0,0,0.00,0,0.00,0.00,0,0
IVSG,0,0,0.00,0,0.00,0.00,0,0
IYJ,0,0,0.00,0,0.00,0.00,0,0
IYLD,0,0,0.00,0,0.00,0.00,0,0
IYT,0,0,0.00,0,0.00,0.00,0,0
IYZ,0,0,0.00,0,0.00,0.00,0,0
IZRL,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JBBB,0,0,0.00,0,0.00,0.00,0,0
JCPB,0,0,0.00,0,0.00,0.00,0,0
JCPI,0,0,0.00,0,0.00,0.00,0,0
JEMA,0,0,0.00,0,0.00,0.00,0,0
JMST,0,0,0.00,0,0.00,0.00,0,0
JMUB,0,0,0.00,0,0.00,0.00,0,0
JPHY,0,0,0.00,0,0.00,0.00,0,0
JPIB,0,0,0.00,0,0.00,0.00,0,0
JPST,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
KAPR,0,0,0.00,0,0.00,0.00,0,0
KJAN,0,0,0.00,0,0.00,0.00,0,0
KJUL,0,0,0.00,0,0.00,0.00,0,0
KNG,0,0,0.00,0,0.00,0.00,0,0
KNGS,0,0,0.00,0,0.00,0.00,0,0
KOCT,0,0,0.00,0,0.00,0.00,0,0
KWT,0,0,0.00,0,0.00,0.00,0,0
LCF,0,0,0.00,0,0.00,0.00,0,0
LEAD,0,0,0.00,0,0.00,0.00,0,0
LIV,0,0,0.00,0,0.00,0.00,0,0
LKOR,0,0,0.00,0,0.00,0.00,0,0
LQDI,0,0,0.00,0,0.00,0.00,0,0
LQDW,0,0,0.00,0,0.00,0.00,0,0
LUXE,0,0,0.00,0,0.00,0.00,0,0
LVHI,0,0,0.00,0,0.00,0.00,0,0
LYFE,0,0,0.00,0,0.00,0.00,0,0
MAAX,0,0,0.00,0,0.00,0.00,0,0
MAGA,0,0,0.00,0,0.00,0.00,0,0
MAMB,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,0,0.00,0,0.00,0.00,0,0
MBCC,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MEAR,0,0,0.00,0,0.00,0.00,0,0
MFUL,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MINN,0,0,0.00,0,0.00,0.00,0,0
MLN,0,0,0.00,0,0.00,0.00,0,0
MOAT,0,0,0.00,0,0.00,0.00,0,0
MOHR,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MOTG,0,0,0.00,0,0.00,0.00,0,0
MOTI,0,0,0.00,0,0.00,0.00,0,0
MPRO,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
MRSK,0,0,0.00,0,0.00,0.00,0,0
MSMR,0,0,0.00,0,0.00,0.00,0,0
MSTB,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
MSVX,0,0,0.00,0,0.00,0.00,0,0
MTUM,0,0,0.00,0,0.00,0.00,0,0
NAPR,0,0,0.00,0,0.00,0.00,0,0
NEAR,0,0,0.00,0,0.00,0.00,0,0
NETZ,0,0,0.00,0,0.00,0.00,0,0
NJAN,0,0,0.00,0,0.00,0.00,0,0
NJUL,0,0,0.00,0,0.00,0.00,0,0
NOBL,0,0,0.00,0,0.00,0.00,0,0
NOCT,0,0,0.00,0,0.00,0.00,0,0
NOVZ,0,0,0.00,0,0.00,0.00,0,0
NUDM,0,0,0.00,0,0.00,0.00,0,0
NUDV,0,0,0.00,0,0.00,0.00,0,0
NUEM,0,0,0.00,0,0.00,0.00,0,0
NULC,0,0,0.00,0,0.00,0.00,0,0
NULG,0,0,0.00,0,0.00,0.00,0,0
